DATE,CPI_YoY
1948-01-01,0.10242085661080069
1948-02-01,0.09481961147086038
1948-03-01,0.06818181818181812
1948-04-01,0.08272727272727276
1948-05-01,0.09384965831435088
1948-06-01,0.09375
1948-07-01,0.09761583445793964
1948-08-01,0.09062499999999996
1948-09-01,0.06654991243432562
1948-10-01,0.061108686163247494
1948-11-01,0.047701647875108444
1948-12-01,0.02733874412644166
1949-01-01,0.013935810810810967
1949-02-01,0.010139416983523386
1949-03-01,0.01744680851063829
1949-04-01,0.004198152812762368
1949-05-01,-0.004164931278633932
1949-06-01,-0.009523809523809379
1949-07-01,-0.02868852459016391
1949-08-01,-0.02988129349160873
1949-09-01,-0.02504105090311981
1949-10-01,-0.026326614561908546
1949-11-01,-0.019039735099337762
1949-12-01,-0.018295218295218296
1950-01-01,-0.02082465639316955
1950-02-01,-0.012547051442910906
1950-03-01,-0.01129234629861986
1950-04-01,-0.011287625418060276
1950-05-01,-0.0058552906733584376
1950-06-01,-0.0016722408026756952
1950-07-01,0.01561181434599157
1950-08-01,0.021097046413502074
1950-09-01,0.024842105263158
1950-10-01,0.0350654837346851
1950-11-01,0.03797468354430378
1950-12-01,0.0580262600592969
1951-01-01,0.07954062101233506
1951-02-01,0.09402795425667088
1951-03-01,0.09475465313028764
1951-04-01,0.09598308668076116
1951-05-01,0.09339503575936048
1951-06-01,0.08584589614740379
1951-07-01,0.07644370585791438
1951-08-01,0.06859504132231398
1951-09-01,0.06943303204601481
1951-10-01,0.06775510204081625
1951-11-01,0.06991869918699178
1951-12-01,0.05964771817453962
1952-01-01,0.042159180457052914
1952-02-01,0.02245451025938827
1952-03-01,0.019706336939721902
1952-04-01,0.02083333333333326
1952-05-01,0.018468641785302164
1952-06-01,0.02313922097956045
1952-07-01,0.029718255499807
1952-08-01,0.03209590100541382
1952-09-01,0.023050326546292688
1952-10-01,0.020259938837920544
1952-11-01,0.014057750759878473
1952-12-01,0.009066868152625585
1953-01-01,0.007183364839319584
1953-02-01,0.006815600151457879
1953-03-01,0.009094353921940135
1953-04-01,0.008692365835222926
1953-05-01,0.0086890819795995
1953-06-01,0.009046362608367886
1953-07-01,0.004122938530734643
1953-08-01,0.005994754589734086
1953-09-01,0.009763424708974844
1953-10-01,0.009741476208317668
1953-11-01,0.005994754589734086
1953-12-01,0.005990265818045737
1954-01-01,0.011261261261261257
1954-02-01,0.015043249341857745
1954-03-01,0.011265490048817162
1954-04-01,0.006369426751592355
1954-05-01,0.008614232209737782
1954-06-01,0.00635039223010847
1954-07-01,0.0026129152668905586
1954-08-01,0.0
1954-09-01,-0.002975083674228385
1954-10-01,-0.008534322820037077
1954-11-01,-0.0026070763500931626
1954-12-01,-0.0037216226274656705
1955-01-01,-0.006310319227913919
1955-02-01,-0.006298629121896937
1955-03-01,-0.00519866320089124
1955-04-01,-0.002606105733432673
1955-05-01,-0.005941329372447068
1955-06-01,-0.008537490720118779
1955-07-01,-0.0037230081906179935
1955-08-01,-0.00484171322160154
1955-09-01,0.0014919806042521522
1955-10-01,0.0037425149700598404
1955-11-01,0.0037341299477220424
1955-12-01,0.0037355248412402897
1956-01-01,0.002241314904743996
1956-02-01,0.001491424310216205
1956-03-01,0.0037327360955581312
1956-04-01,0.005225830533781339
1956-05-01,0.009712364587224576
1956-06-01,0.01647323099962561
1956-07-01,0.019805680119581393
1956-08-01,0.02208083832335328
1956-09-01,0.01862197392923659
1956-10-01,0.02572706935123037
1956-11-01,0.0234375
1956-12-01,0.028284331968738252
1957-01-01,0.03130823704808061
1957-02-01,0.034996276991809516
1957-03-01,0.03607288955001864
1957-04-01,0.03713330857779429
1957-05-01,0.03588605253422128
1957-06-01,0.0353591160220994
1957-07-01,0.03297911322828884
1957-08-01,0.03551812522885389
1957-09-01,0.03546617915904937
1957-10-01,0.02944383860414379
1957-11-01,0.03271537622682663
1957-12-01,0.030401737242128135
1958-01-01,0.035056017347307566
1958-02-01,0.03237410071942448
1958-03-01,0.03625269203158665
1958-04-01,0.036161833154314316
1958-05-01,0.033571428571428585
1958-06-01,0.028459622909996485
1958-07-01,0.02483150053210359
1958-08-01,0.023338048090523422
1958-09-01,0.02083333333333326
1958-10-01,0.02083333333333326
1958-11-01,0.019007391763463444
1958-12-01,0.017562346329469625
1959-01-01,0.012918994413407825
1959-02-01,0.010452961672473782
1959-03-01,0.003463803255975062
1959-04-01,0.0013821700069107656
1959-05-01,0.003455425017277136
1959-06-01,0.006918021445866396
1959-07-01,0.008999653859466772
1959-08-01,0.008293020041465038
1959-09-01,0.011760636457972984
1959-10-01,0.015219647180906293
1959-11-01,0.013816925734024155
1959-12-01,0.015188125647221273
1960-01-01,0.012409513960703222
1960-02-01,0.014137931034482687
1960-03-01,0.015188125647221273
1960-04-01,0.019323671497584405
1960-05-01,0.018250688705234275
1960-06-01,0.017176228100309165
1960-07-01,0.013722126929674117
1960-08-01,0.01473612063056895
1960-09-01,0.012307692307692353
1960-10-01,0.013628620102214661
1960-11-01,0.014650766609880739
1960-12-01,0.013600816048962905
1961-01-01,0.016002723867892366
1961-02-01,0.014620877252635056
1961-03-01,0.014620877252635056
1961-04-01,0.009140148950575577
1961-05-01,0.009130875887723988
1961-06-01,0.0077676460655184965
1961-07-01,0.012521150592216701
1961-08-01,0.011144883485309176
1961-09-01,0.012495778453225359
1961-10-01,0.007731092436974896
1961-11-01,0.00671591672263272
1961-12-01,0.006709158000671067
1962-01-01,0.006702412868632601
1962-02-01,0.009048257372654245
1962-03-01,0.011058981233244003
1962-04-01,0.013418316001341912
1962-05-01,0.013404825737265424
1962-06-01,0.012399463806970434
1962-07-01,0.010026737967914423
1962-08-01,0.011356045424181671
1962-09-01,0.014676450967311627
1962-10-01,0.013342228152101399
1962-11-01,0.013342228152101399
1962-12-01,0.012329223592135952
1963-01-01,0.013315579227696439
1963-02-01,0.012288276320159497
1963-03-01,0.011269472986410234
1963-04-01,0.00893743793445867
1963-05-01,0.008928571428571619
1963-06-01,0.013240648791790655
1963-07-01,0.015552614162806178
1963-08-01,0.015521796565389767
1963-09-01,0.009861932938855844
1963-10-01,0.012179065174456882
1963-11-01,0.013166556945358954
1963-12-01,0.016458196181698526
1964-01-01,0.016425755584756896
1964-02-01,0.014107611548556331
1964-03-01,0.014093739757456536
1964-04-01,0.015419947506561726
1964-05-01,0.015404785316289749
1964-06-01,0.013067624959163693
1964-07-01,0.010752688172043001
1964-08-01,0.009756097560975618
1964-09-01,0.01171875
1964-10-01,0.012032520325203189
1964-11-01,0.013970110461338558
1964-12-01,0.011981865284974136
1965-01-01,0.01098901098901095
1965-02-01,0.011970236169524417
1965-03-01,0.011958629605688387
1965-04-01,0.013893376413570246
1965-05-01,0.0161394448030987
1965-06-01,0.019348597226700903
1965-07-01,0.01805286911669879
1965-08-01,0.016103059581320522
1965-09-01,0.01737451737451745
1965-10-01,0.017030848329048665
1965-11-01,0.017302146747837144
1965-12-01,0.019200000000000106
1966-01-01,0.019181585677749302
1966-02-01,0.025575447570332477
1966-03-01,0.027786649632705274
1966-04-01,0.028680688336520044
1966-05-01,0.02763659466327839
1966-06-01,0.024359379943056148
1966-07-01,0.02754908169727699
1966-08-01,0.034865293185419866
1966-09-01,0.035736875395319334
1966-10-01,0.03791469194312813
1966-11-01,0.03559055118110255
1966-12-01,0.033594976452119285
1967-01-01,0.0319949811794229
1967-02-01,0.028678304239401653
1967-03-01,0.025481665630826544
1967-04-01,0.025402726146220633
1967-05-01,0.023183925811437467
1967-06-01,0.028412600370598895
1967-07-01,0.029275808936825687
1967-08-01,0.026033690658499253
1967-09-01,0.025954198473282508
1967-10-01,0.025875190258751957
1967-11-01,0.0310218978102188
1967-12-01,0.03280680437424044
1968-01-01,0.03647416413373872
1968-02-01,0.036363636363636376
1968-03-01,0.039393939393939315
1968-04-01,0.0392749244712991
1968-05-01,0.04229607250755274
1968-06-01,0.042042042042042205
1968-07-01,0.04491017964071853
1968-08-01,0.04477611940298498
1968-09-01,0.044642857142857206
1968-10-01,0.047477744807121525
1968-11-01,0.04424778761061954
1968-12-01,0.04705882352941182
1969-01-01,0.04692082111436946
1969-02-01,0.04678362573099393
1969-03-01,0.05247813411078739
1969-04-01,0.05523255813953476
1969-05-01,0.05507246376811592
1969-06-01,0.054755043227665556
1969-07-01,0.054441260744985565
1969-08-01,0.05428571428571427
1969-09-01,0.056980056980056926
1969-10-01,0.056657223796034106
1969-11-01,0.05932203389830515
1969-12-01,0.0589887640449438
1970-01-01,0.06162464985994376
1970-02-01,0.06424581005586605
1970-03-01,0.06094182825484751
1970-04-01,0.060606060606060774
1970-05-01,0.06043956043956045
1970-06-01,0.060109289617486183
1970-07-01,0.057065217391304435
1970-08-01,0.05691056910569103
1970-09-01,0.05660377358490565
1970-10-01,0.05630026809651478
1970-11-01,0.05600000000000005
1970-12-01,0.055702917771883076
1971-01-01,0.05277044854881274
1971-02-01,0.04724409448818889
1971-03-01,0.044386422976501416
1971-04-01,0.04155844155844157
1971-05-01,0.04404145077720201
1971-06-01,0.04381443298969079
1971-07-01,0.04370179948586128
1971-08-01,0.04358974358974366
1971-09-01,0.04081632653061207
1971-10-01,0.038071065989847774
1971-11-01,0.03535353535353525
1971-12-01,0.03266331658291466
1972-01-01,0.03258145363408538
1972-02-01,0.03759398496240607
1972-03-01,0.03499999999999992
1972-04-01,0.034912718204488824
1972-05-01,0.032258064516129226
1972-06-01,0.029629629629629672
1972-07-01,0.029556650246305383
1972-08-01,0.029484029484029284
1972-09-01,0.031862745098039325
1972-10-01,0.03178484107579482
1972-11-01,0.034146341463414664
1972-12-01,0.03406326034063256
1973-01-01,0.03640776699029136
1973-02-01,0.03864734299516903
1973-03-01,0.048309178743961345
1973-04-01,0.053012048192771166
1973-05-01,0.05528846153846145
1973-06-01,0.05995203836930463
1973-07-01,0.05741626794258381
1973-08-01,0.07398568019093088
1973-09-01,0.07363420427553447
1973-10-01,0.08056872037914697
1973-11-01,0.08254716981132071
1973-12-01,0.0894117647058823
1974-01-01,0.09601873536299754
1974-02-01,0.09999999999999987
1974-03-01,0.10138248847926268
1974-04-01,0.10068649885583514
1974-05-01,0.1070615034168565
1974-06-01,0.10859728506787314
1974-07-01,0.1153846153846152
1974-08-01,0.10888888888888881
1974-09-01,0.11946902654867242
1974-10-01,0.11842105263157898
1974-11-01,0.12200435729847503
1974-12-01,0.12095032397408212
1975-01-01,0.11752136752136755
1975-02-01,0.11205073995771686
1975-03-01,0.10460251046025104
1975-04-01,0.10187110187110182
1975-05-01,0.09259259259259256
1975-06-01,0.09183673469387754
1975-07-01,0.09533468559837743
1975-08-01,0.08617234468937895
1975-09-01,0.07905138339920947
1975-10-01,0.07647058823529407
1975-11-01,0.0737864077669903
1975-12-01,0.07129094412331405
1976-01-01,0.06692160611854692
1976-02-01,0.06273764258555126
1976-03-01,0.06060606060606055
1976-04-01,0.05849056603773595
1976-05-01,0.062146892655367214
1976-06-01,0.059813084112149584
1976-07-01,0.05555555555555558
1976-08-01,0.05719557195571956
1976-09-01,0.05494505494505497
1976-10-01,0.05464480874316946
1976-11-01,0.05063291139240511
1976-12-01,0.050359712230215736
1977-01-01,0.051971326164874654
1977-02-01,0.06082289803220031
1977-03-01,0.06428571428571428
1977-04-01,0.06951871657754016
1977-05-01,0.06737588652482285
1977-06-01,0.06701940035273357
1977-07-01,0.06666666666666665
1977-08-01,0.06631762652705064
1977-09-01,0.06423611111111094
1977-10-01,0.06390328151986191
1977-11-01,0.06712564543889843
1977-12-01,0.0667808219178081
1978-01-01,0.0681431005110733
1978-02-01,0.062394603709949426
1978-03-01,0.06375838926174482
1978-04-01,0.06499999999999995
1978-05-01,0.0714285714285714
1978-06-01,0.07438016528925617
1978-07-01,0.07730263157894735
1978-08-01,0.07855973813420625
1978-09-01,0.08482871125611746
1978-10-01,0.08928571428571419
1978-11-01,0.08870967741935476
1978-12-01,0.08988764044943842
1979-01-01,0.09250398724082931
1979-02-01,0.09841269841269851
1979-03-01,0.10252365930599372
1979-04-01,0.10485133020344284
1979-05-01,0.10697674418604652
1979-06-01,0.11076923076923073
1979-07-01,0.11450381679389321
1979-08-01,0.11836115326251884
1979-09-01,0.11879699248120312
1979-10-01,0.12071535022354718
1979-11-01,0.125925925925926
1979-12-01,0.13254786450662737
1980-01-01,0.13868613138686126
1980-02-01,0.14161849710982644
1980-03-01,0.14592274678111572
1980-04-01,0.1458923512747876
1980-05-01,0.14425770308123242
1980-06-01,0.1426592797783932
1980-07-01,0.1315068493150684
1980-08-01,0.12890094979647215
1980-09-01,0.12768817204301075
1980-10-01,0.12632978723404253
1980-11-01,0.12631578947368416
1980-12-01,0.12353706111833551
1981-01-01,0.11794871794871797
1981-02-01,0.11392405063291133
1981-03-01,0.10611735330836458
1981-04-01,0.10135970333745359
1981-05-01,0.0979192166462668
1981-06-01,0.09696969696969693
1981-07-01,0.10774818401937059
1981-08-01,0.10817307692307687
1981-09-01,0.1096543504171632
1981-10-01,0.10271546635182993
1981-11-01,0.09579439252336464
1981-12-01,0.08912037037037024
1982-01-01,0.08256880733944949
1982-02-01,0.07613636363636367
1982-03-01,0.06884875846501148
1982-04-01,0.06621773288439958
1982-05-01,0.06911928651059096
1982-06-01,0.07182320441988943
1982-07-01,0.06557377049180335
1982-08-01,0.05965292841648595
1982-09-01,0.04940923737916236
1982-10-01,0.05032119914346889
1982-11-01,0.044776119402985204
1982-12-01,0.03825717321997879
1983-01-01,0.037076271186440746
1983-02-01,0.03484688489968324
1983-03-01,0.035902851108764455
1983-04-01,0.040000000000000036
1983-05-01,0.0344108446298228
1983-06-01,0.024742268041237248
1983-07-01,0.02358974358974364
1983-08-01,0.02456499488229258
1983-09-01,0.02763561924257929
1983-10-01,0.02752293577981657
1983-11-01,0.031632653061224536
1983-12-01,0.03787103377686796
1984-01-01,0.04290091930541351
1984-02-01,0.04693877551020398
1984-03-01,0.04892966360856277
1984-04-01,0.045546558704453455
1984-05-01,0.043346774193548265
1984-06-01,0.04325955734406439
1984-07-01,0.043086172344689366
1984-08-01,0.04295704295704317
1984-09-01,0.042828685258964105
1984-10-01,0.04265873015873023
1984-11-01,0.041543026706231556
1984-12-01,0.04043392504930954
1985-01-01,0.0352595494613126
1985-02-01,0.03606237816764146
1985-03-01,0.03790087463556846
1985-04-01,0.03581800580832528
1985-05-01,0.035748792270531515
1985-06-01,0.03664416586306651
1985-07-01,0.03458213256484166
1985-08-01,0.03352490421455934
1985-09-01,0.032473734479465
1985-10-01,0.032350142721217834
1985-11-01,0.03513770180436859
1985-12-01,0.03791469194312791
1986-01-01,0.039735099337748325
1986-02-01,0.0319849482596426
1986-03-01,0.021535580524344455
1986-04-01,0.015887850467289688
1986-05-01,0.01679104477611948
1986-06-01,0.017674418604651132
1986-07-01,0.01671309192200554
1986-08-01,0.01575532900834098
1986-09-01,0.01757631822386685
1986-10-01,0.015668202764977046
1986-11-01,0.012844036697247763
1986-12-01,0.01187214611872145
1987-01-01,0.01364877161055511
1987-02-01,0.019143117593436676
1987-03-01,0.028414298808432603
